,,Dish,Stages,food_pics
Avocado Black Bean Rice Bowl,"Whip up a vibrant Avocado Black Bean Rice Bowl! This easy, healthy recipe features fluffy rice, creamy avocado, & zesty lime dressing. Perfect for a quick & satisfying meal.,     Ingredients","beans, bowl, Mexican, rice",Make ahead,
"Spring Mix Salad with Marinated White Beans, Mushrooms & Parmesan","Serves: 2–3,     Style: Fresh, savory, spring-forward (nut-free), , , ,     Ingredients, , ,     Marinated White Beans","beans, salad",Make ahead,
"Thai Tuna, Edamame & Noodles",The perfect light meal! With leftovers to take away :),"bowl, pasta, tuna steak",Prepare the meal,
Marinated Beans,"Delicious marinated bean recipe with vibrant herbs and zesty shallots., , ,     Prep Time - 10 mins | Total Time  - 10 mins,     Ingredients, , ,        1 small shallot, finely chopped,        2-4 tbsp white wine vinegar,        1 cup cooked dried beans or canned white beans* or any mix of beans or chickpeas you prefer,        2-4 tbsp olive oil,        1/2 cup finely chopped herbs**,        1 pinch fine sea salt,        1 pinch black pepper,        1/4 tsp crushed pepper flakes","beans, staple",Make ahead,https://recipes.eckford.ca/files/20260209_195900.jpg
Garlic Parmesan Sauce (10-Minute Recipe!),"By: Jennifer Pallian BSc, RD, , ,     A creamy, garlicky white sauce that comes together in 10 minutes. Perfect for pasta, chicken wings, veggies, or as a white pizza base., , ,     Prep Time: 5 minutes minutes, , ,     Cook Time: 5 minutes minutes, , ,     Quantity: 1 1/2 cups","sauce, pasta",Make ahead,
squash and arugula,"This salad created itself. I'd say the base is , , , ,         Spaghetti squash,     , ,         Arugula,     , ,         Chickpeas ,     , , ,     And after that.. , , , ,         Leftover roasted veggies,     , ,         Feta crumbled,     , ,         Black olives cut in half,     , ,         Walnuts 2 T crushed a bit,     , ,         Raspberries about 6 ,     , , ,     Whatever you have. , , ,     And fresh Walnuts are so soft and complimentary to the crunch of a salad. Mmmmmm ",salad,Prepare the meal,
Who's Coming in from the Cold?,"And yes, you are all my favourite",,Still growing,
Salmon with Pesto and Pasta,"Salmon with previously prepared Pesto and Pasta, , ,     - - - - - -, , ,     Preheat oven to 375º. , , , ,          On a baking tray, add the salmon and top each filet with pesto, about 1-2 T. per filet. ,     , , ,             The rest will be for the pasta ;), , ,         2. Bake Salmon for 10 or so minutes, (10-12), , ,         3. Serve the salmon over Fresh Linguine or previously cooked pasta of choice. ","pasta, salmon",Make ahead,
"Cauliflower-rice and beans, veggie bowl ㋡","Let the cauliflower rice saga continue for a bit, , ,     And a new Herb Blend to try","beans, bowl, cauliflower-rice",Prepare the meal,
Seasoning ideas and herb‑timing tips,"Quick Method, , , Toss your chopped fresh veggies, and whole/minced garlic in a bowl with your chosen oil and seasonings., Spread on a sheet pan in a single layer., Roast at 425 °F (220 °C) for 18–22 min, shaking once, until edges caramelize., Finish with your post‑roast fresh herbs and citrus or sauce drizzle. IMHO veggies","fresh herbs, roasted veggies",Prepare the meal,
🍲 Mediterranean Chickpeas with Rice,"** One pot. It's like making a broth.  **, Mediterranean Chickpeas with Rice, in broth with herbs and spices, Easy,  delicious","beans, fresh herbs, rice",Prepare the meal,
🐔 Marinade for chicken,"Simple Marinade (For 2 Chicken Breasts), Ideal for pita, salad, or chopped dishes","mediterranean, chicken",Make ahead,
🧈 Baked Polenta (Savory Cornbread Alternative),"🧀 How do you like it?:,     Add chili flakes, sautéed onions, or chopped herbs before baking.,     Top with extra cheese or drizzle with olive oil before serving.",bread,Make ahead,
"Couscous, Chickpeas and Feta 🥣","In a large bowl, combine the beans, tomato and cucumber. In a small bowl, whisk the lemon juice, lemon zest, oil, herbs and seasonings. Mmmmm....  summertime , -- fresh mint -- fresh parsley","beans, fresh herbs",Prepare the meal,
